sentence,span,type,uri,relation,question,gold givenName
"In the twenty - fifth number of our new series (January 1830), appeared a review of a work of great science, learning, and merit, under the title of Instructions to my Daughter for Playing on the Enharmonic Guitar, written by Lieutenant - Colonel Perronet.",Lieutenant - Colonel Perronet,person,(Q4670375),given name,What is the given name of Lieutenant - Colonel Perronet?,Thomas
"We may mention as a remarkable circumstance, that on the evening of the night on which he was born, his mother, notwithstanding the delicacy of her situation, was induced to go to a concert given by Paganini at the Teatro Santo Augustino in Genoa; when the performance of the great Maestro produced such an effect on her mind and nerves as to precipitate her accouchement, and the young Sivori came into the world somewhat before his time.",Paganini,person,(Q66075),given name,What is the given name of Paganini?,Niccolò
"We may mention as a remarkable circumstance, that on the evening of the night on which he was born, his mother, notwithstanding the delicacy of her situation, was induced to go to a concert given by Paganini at the Teatro Santo Augustino in Genoa; when the performance of the great Maestro produced such an effect on her mind and nerves as to precipitate her accouchement, and the young Sivori came into the world somewhat before his time.",Sivori,person,(Q1029423),given name,What is the given name of Sivori?,Ernesto; Camillo
"At a second Advent Service, on the 12th ult., the “Last Judgment” of Spohr was. given, but without an orchestra, its place being filled at the organ as efficiently as it could be by Mr. G. R. Sinclair, the organist of Hereford Cathedral.",Spohr,person,(Q57226),given name,What is the given name of Spohr?,Louis
"At a second Advent Service, on the 12th ult., the “Last Judgment” of Spohr was. given, but without an orchestra, its place being filled at the organ as efficiently as it could be by Mr. G. R. Sinclair, the organist of Hereford Cathedral.",Mr. G. R. Sinclair,person,(Q5543957),given name,What is the given name of Mr. G. R. Sinclair?,Q15921732
"At Ann’s Road Church, Heeley, Sterndale Bennett’s ‘May Queen’ formed one of a series of admirable services: and concerts, and Oxford Street Chapel, another suburban centre of musical activity, was the /oca / e of a particularly good all - round performance of ‘The Creation’ under Mr. Joseph Kaye.",Sterndale Bennett,person,(Q201164),given name,What is the given name of Sterndale Bennett?,William
"Two of these compositions have been published, and are as follows: — Morgengruss an Goethe, & y., (Morning Salutation to Goéthe on his Birth - day); the poetry by F. W. Riemar, the music for two sopranos, tenor and basy by C. Eberwein, with an aceompaniment for the piano, (Bpth in score, andin parts.)",C. Eberwein,person,(Q216234),given name,What is the given name of C. Eberwein?,Franz
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Kraus - Wranisky,person,(Q55895823),given name,What is the given name of Madame Kraus - Wranisky?,Anna; Katherina
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Seidler,person,(Q6373188),given name,What is the given name of Madame Seidler?,Karoline
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Pasta,person,(Q240963),given name,What is the given name of Pasta?,Q18191101
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Mademoiselle Lalande,person,(Q3132487),given name,What is the given name of Mademoiselle Lalande?,Henriette
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Madame : Ronzi di Begnis,person,(Q3266332),given name,What is the given name of Madame : Ronzi di Begnis?,Giuseppina
"The Choral Society opened its sixteenth season in the Drill Hall on November 2 with a complete Elgar programme: ‘The Black Knight,’ ‘The Banner of St. George,’ ‘Imperial March,’ ‘In Hammersbach’ (from ‘The Bavarian Highlands’), and the ‘Pomp and Circumstance’ March No. 1.",Elgar,person,(Q179631),given name,What is the given name of Elgar?,Edward
"From evounds ‘of reflection, the Opera Seria; to which he had paid the tribute of - his youth, accompanied by thé most brilliant suc“cess, in Italy, disgusted him; and he began to reflect radically upon the conditions.of lyric I al tragedy, triéd to bring them ‘into application in his Orfeo, and developed them in writing in the { L preface to his Aleeste, which he dedicated to the ii grand * duke of Tuscany.",grand * duke of Tuscany,person,(Q151321),given name,What is the given name of grand * duke of Tuscany?,Leopold
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Eugéne Sue,person,(Q315220),given name,What is the given name of Eugéne Sue?,Eugène
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Soulié,person,(Q2031275),given name,What is the given name of Soulié?,Fredrik; Frédéric
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Gluck,person,(Q130759),given name,What is the given name of Gluck?,Willibald; Christoph
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Malibran,person,(Q232783),given name,What is the given name of Malibran?,Felicitas; María
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Paer,person,(Q533022),given name,What is the given name of Paer?,Ferdinando
"At who think with us that the selection of operatic works for performance in any country should not be bounded by geographical restrictions, can not but feel gratifled that the lessee of the Royal Italian Opera no longer confines himself to the creations of foreign composers; but, welcoming good music wherever it can be found, has chosen Mr. Mackenzie’s highly successful opera ‘Colomba”’ as one of the chief attractions of the coming season.",Mr. Mackenzie,person,(Q674739),given name,What is the given name of Mr. Mackenzie?,Alexander
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),given name,What is the given name of Jarnowick?,Ivan; Giovanni
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",J. B. Cramer,person,(Q455212),given name,What is the given name of J. B. Cramer?,Johann
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),given name,What is the given name of Jarnowick?,Ivan; Giovanni
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),given name,What is the given name of Carey?,Henry
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",John Christopher,person,(Q11727869),given name,What is the given name of John Christopher?,Christopher; John
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),given name,What is the given name of Smith?,Christopher; John
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),given name,What is the given name of Carey?,Henry
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),given name,What is the given name of Smith?,Christopher; John
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),given name,What is the given name of Carey?,Henry
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Vinci,person,(Q29577),given name,What is the given name of Vinci?,Leonardo
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Porpora,person,(Q312788),given name,What is the given name of Porpora?,Nicola
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Leo,person,(Q316735),given name,What is the given name of Leo?,Leonardo
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Durante,person,(Q2286657),given name,What is the given name of Durante?,Silvestro
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",Dr. John Bull,person,(Q511463),given name,What is the given name of Dr. John Bull?,John
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",James I,person,(Q79972),given name,What is the given name of James I?,James
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),given name,What is the given name of Jomelli?,Niccolò
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Gluck,person,(Q130759),given name,What is the given name of Gluck?,Willibald; Christoph
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),given name,What is the given name of Jomelli?,Niccolò
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Hasse,person,(Q164732),given name,What is the given name of Hasse?,Johann
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Spohr,person,(Q57226),given name,What is the given name of Spohr?,Louis
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Gaul,person,(Q4723319),given name,What is the given name of Gaul?,Alfred
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Adelina Patti,person,(Q234166),given name,What is the given name of Madame Adelina Patti?,Adelina
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Sembrich,person,(Q265698),given name,What is the given name of Madame Sembrich?,Prakseda; Marcella; Marcelina
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdlle . De Vere,person,(Q19998212),given name,What is the given name of Mdlle . De Vere?,Clémentine
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Scalchi,person,(Q7553670),given name,What is the given name of Madame Scalchi?,Sofia
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Nicolini,person,(Q3083329),given name,What is the given name of Signor Nicolini?,Ernesto
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Marconi,person,(Q5479431),given name,What is the given name of Signor Marconi?,Francesco
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Soulacroix,person,(Q5515856),given name,What is the given name of M. Soulacroix?,Gabriel
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Mierzwinski,person,(Q5986416),given name,What is the given name of Signor Mierzwinski?,Władysław
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Cotogni,person,(Q2562468),given name,What is the given name of Signor Cotogni?,Antonio
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Devoyod,person,(Q27928845),given name,What is the given name of M. Devoyod?,
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Tartini,person,(Q108555),given name,What is the given name of Tartini?,Giuseppe
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Grieg,person,(Q80621),given name,What is the given name of Grieg?,Edvard
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",Mercadante,person,(Q313980),given name,What is the given name of Mercadante?,Giuseppe
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",M. Guénée,person,(Q23901679),given name,What is the given name of M. Guénée?,Adolphe
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",William Shakspeare,person,(Q692),given name,What is the given name of William Shakspeare?,William
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Rossint,person,(Q9726),given name,What is the given name of Rossint?,Gioacchino
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Cimarosa,person,(Q191775),given name,What is the given name of Cimarosa?,Domenico
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Jacob,person,(Q1339),given name,What is the given name of Jacob?,Sebastian; Johann
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Dr. Chrysander,person,(Q65274),given name,What is the given name of Dr. Chrysander?,Friedrich
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,person,(Q189544),given name,What is the given name of Adolphe Adam?,Adolphe; Charles
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Maurice Bourges,person,(Q73128734),given name,What is the given name of Maurice Bourges?,Maurice
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",M. Bourges,person,(Q73128734),given name,What is the given name of M. Bourges?,Maurice
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Paganini,person,(Q66075),given name,What is the given name of Paganini?,Niccolò
"In 1824 her family was residing at Paris, where she received, musical instruction from M. Fétis, at present: director of the Brussels Conse rratoire, author of the Biographie Universelle de Musiciens, together with many didactic works, and compos at that time prefessor in the Conservatoire of ‘Paris.",M. Fétis,person,(Q523581),given name,What is the given name of M. Fétis?,François
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Auber,person,(Q157672),given name,What is the given name of Auber?,Daniel
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Schiller,person,(Q22670),given name,What is the given name of Schiller?,Johann; Friedrich; Christoph
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Reichardt,person,(Q213742),given name,What is the given name of Reichardt?,Johann; Friedrich
"« The opera is in three acts, music composed by Bishop, then -a young man, and beeomting very popular, “Clari, or the. Maid of Milan,” was avted for the first time at Covent Garden Theatre, May 8 1823, w ith the following east:.",Bishop,person,(Q1200639),given name,What is the given name of Bishop?,Henry; Rowley
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Miss Zimmermann,person,(Q4693137),given name,What is the given name of Miss Zimmermann?,Agnes
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mr. Santley,person,(Q521746),given name,What is the given name of Mr. Santley?,Charles
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mrs. Shaw,person,(Q3291051),given name,What is the given name of Mrs. Shaw?,Mary
