sentence,span,type,uri,relation,question,gold CoC
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Sembrich,person,(Q265698),country of citizenship,What is the country of citizenship of Madame Sembrich?,United States; Poland
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdlle . De Vere,person,(Q19998212),country of citizenship,What is the country of citizenship of Mdlle . De Vere?,France
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Scalchi,person,(Q7553670),country of citizenship,What is the country of citizenship of Madame Scalchi?,Kingdom of Italy
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Nicolini,person,(Q3083329),country of citizenship,What is the country of citizenship of Signor Nicolini?,France
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Marconi,person,(Q5479431),country of citizenship,What is the country of citizenship of Signor Marconi?,Kingdom of Italy
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Soulacroix,person,(Q5515856),country of citizenship,What is the country of citizenship of M. Soulacroix?,France
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Mierzwinski,person,(Q5986416),country of citizenship,What is the country of citizenship of Signor Mierzwinski?,Russian Empire; Congress Poland
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Cotogni,person,(Q2562468),country of citizenship,What is the country of citizenship of Signor Cotogni?,Kingdom of Italy
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Devoyod,person,(Q27928845),country of citizenship,What is the country of citizenship of M. Devoyod?,
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Tartini,person,(Q108555),country of citizenship,What is the country of citizenship of Tartini?,Republic of Venice
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Grieg,person,(Q80621),country of citizenship,What is the country of citizenship of Grieg?,Norway
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",Mercadante,person,(Q313980),country of citizenship,What is the country of citizenship of Mercadante?,Kingdom of Italy
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",M. Guénée,person,(Q23901679),country of citizenship,What is the country of citizenship of M. Guénée?,France
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",William Shakspeare,person,(Q692),country of citizenship,What is the country of citizenship of William Shakspeare?,Kingdom of England
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Rossint,person,(Q9726),country of citizenship,What is the country of citizenship of Rossint?,Papal States; Kingdom of Italy
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Cimarosa,person,(Q191775),country of citizenship,What is the country of citizenship of Cimarosa?,Republic of Venice
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Jacob,person,(Q1339),country of citizenship,What is the country of citizenship of Jacob?,Holy Roman Empire; Saxe-Eisenach
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Dr. Chrysander,person,(Q65274),country of citizenship,What is the country of citizenship of Dr. Chrysander?,Grand Duchy of Mecklenburg-Schwerin
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,person,(Q189544),country of citizenship,What is the country of citizenship of Adolphe Adam?,France
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Maurice Bourges,person,(Q73128734),country of citizenship,What is the country of citizenship of Maurice Bourges?,France
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",M. Bourges,person,(Q73128734),country of citizenship,What is the country of citizenship of M. Bourges?,France
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Paganini,person,(Q66075),country of citizenship,What is the country of citizenship of Paganini?,Republic of Genoa
"In 1824 her family was residing at Paris, where she received, musical instruction from M. Fétis, at present: director of the Brussels Conse rratoire, author of the Biographie Universelle de Musiciens, together with many didactic works, and compos at that time prefessor in the Conservatoire of ‘Paris.",M. Fétis,person,(Q523581),country of citizenship,What is the country of citizenship of M. Fétis?,Belgium
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Auber,person,(Q157672),country of citizenship,What is the country of citizenship of Auber?,France
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Schiller,person,(Q22670),country of citizenship,What is the country of citizenship of Schiller?,Saxe-Weimar; Duchy of Württemberg
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Reichardt,person,(Q213742),country of citizenship,What is the country of citizenship of Reichardt?,Germany
"« The opera is in three acts, music composed by Bishop, then -a young man, and beeomting very popular, “Clari, or the. Maid of Milan,” was avted for the first time at Covent Garden Theatre, May 8 1823, w ith the following east:.",Bishop,person,(Q1200639),country of citizenship,What is the country of citizenship of Bishop?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Miss Zimmermann,person,(Q4693137),country of citizenship,What is the country of citizenship of Miss Zimmermann?,Germany
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mr. Santley,person,(Q521746),country of citizenship,What is the country of citizenship of Mr. Santley?,United Kingdom of Great Britain and Ireland
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mrs. Shaw,person,(Q3291051),country of citizenship,What is the country of citizenship of Mrs. Shaw?,United Kingdom of Great Britain and Ireland
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mr. Phillips,person,(Q18671452),country of citizenship,What is the country of citizenship of Mr. Phillips?,United Kingdom of Great Britain and Ireland
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Salvator Rosa,person,(Q359421),country of citizenship,What is the country of citizenship of Salvator Rosa?,Italy
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Dr. Coward,person,(Q5719907),country of citizenship,What is the country of citizenship of Dr. Coward?,United Kingdom; United Kingdom of Great Britain and Ireland
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Verdi,person,(Q7317),country of citizenship,What is the country of citizenship of Verdi?,Kingdom of Italy
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Svendsen,person,(Q336668),country of citizenship,What is the country of citizenship of Svendsen?,Norway
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",William Ackroyd,person,(Q109120689),country of citizenship,What is the country of citizenship of William Ackroyd?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Wall,person,(Q107203434),country of citizenship,What is the country of citizenship of Alfred Wall?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Hobday,person,(Q4722438),country of citizenship,What is the country of citizenship of Alfred Hobday?,United Kingdom; United Kingdom of Great Britain and Ireland
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",Queen Victoria,person,(Q9439),country of citizenship,What is the country of citizenship of Queen Victoria?,United Kingdom of Great Britain and Ireland
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",M. Vivier,person,(Q16947558),country of citizenship,What is the country of citizenship of M. Vivier?,France
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",M. Vivier,person,(Q16947558),country of citizenship,What is the country of citizenship of M. Vivier?,France
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",delssohn,person,(Q46096),country of citizenship,What is the country of citizenship of delssohn?,Hamburg; Kingdom of Saxony
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Bemberg,person,(Q3134049),country of citizenship,What is the country of citizenship of Bemberg?,France; Argentina
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",May H. Mukle,person,(Q22312922),country of citizenship,What is the country of citizenship of May H. Mukle?,United Kingdom
"While no one could be more expressive than he was in such a camtabile as “Fra poco” in ‘Lucia,’ or Tutto scielte” ‘La Sonnambula,” he would fling into the midst of ~one of Rossini’s grandest adugios a roulade, interapinable, unmeaning, and absolutely bordering on vulgarity.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"Tre performance of Haydn’s Seasons at the third of these concerts, at St. James’s Hall, on the 20th ult., had all the effect of a revival, so strangely neglected has the entire work been in England, although detached portions of it have become stock favourites with all who can appreciate the graceful and genial style which is the distinguishing characteristic of the composition.",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"By a similar examination of one of Mozart’s and one of Beethoven’s, it is our object to ascertain how far we have been accurate in our description of the principal differences in the three styles, and to discover if any improvements have been made by the two latter in the models left them by the illustrious inventor of the symphony.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"By a similar examination of one of Mozart’s and one of Beethoven’s, it is our object to ascertain how far we have been accurate in our description of the principal differences in the three styles, and to discover if any improvements have been made by the two latter in the models left them by the illustrious inventor of the symphony.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"In the course of the late season of morning concerts, we heard one of the best glees of Webbe, which we had not heard for thirty years before, when it was performed by the Vaughans, Knyvetts, & c., at a concert given by a Miss Bonwick, at the London Tavern",Webbe,person,(Q7412899),country of citizenship,What is the country of citizenship of Webbe?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The Beethoven festival, held from the 5th. to the 7th ult., under the direction of Capellmeister Steinbach, with the Meiningen orchestra and the choir of.the Musik - Verein, was exceedingly well attended, and there is but one voice as to the general excellence of the performances.",Capellmeister Steinbach,person,(Q70648),country of citizenship,What is the country of citizenship of Capellmeister Steinbach?,Grand Duchy of Baden
"Leo was the founder ofa school in Naples, that very widely spread the fame of his country, and became a nursery for those celebrated singers, who afterwards filled Giovanni Ansani, or Anzani, was an lalian singer and composer of some eminence.",Leo,person,(Q316735),country of citizenship,What is the country of citizenship of Leo?,
"Leo was the founder ofa school in Naples, that very widely spread the fame of his country, and became a nursery for those celebrated singers, who afterwards filled Giovanni Ansani, or Anzani, was an lalian singer and composer of some eminence.",Giovanni Ansani,person,(Q2813673),country of citizenship,What is the country of citizenship of Giovanni Ansani?,
"Leo was the founder ofa school in Naples, that very widely spread the fame of his country, and became a nursery for those celebrated singers, who afterwards filled Giovanni Ansani, or Anzani, was an lalian singer and composer of some eminence.",Anzani,person,(Q2813673),country of citizenship,What is the country of citizenship of Anzani?,
"The Emperor Joseph II., ashamed of this neglect of native talent, determined to show his subjects what their own country could produce, and for this purpose engaged the services of Mozart, whose attachment to this Prince was so great that he wished never to leave him.",Emperor Joseph II,person,(Q76555),country of citizenship,What is the country of citizenship of Emperor Joseph II?,Holy Roman Empire
"The Emperor Joseph II., ashamed of this neglect of native talent, determined to show his subjects what their own country could produce, and for this purpose engaged the services of Mozart, whose attachment to this Prince was so great that he wished never to leave him.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"And in the beautiful galleries of the Prince Es sterhdzy, (that munificent patron | of: Art) one can, at least, recall in imagination some- strains of the choice ¢hamber music. of, Beethoven, to which their walls echoed in the presence of the great master, and in his palmiest days. os se I was much impressed by the fine monument of the Archduchess Christina, by Canova, which stands in the Church of the Augustines.",Prince Es sterhdzy,person,(Q597865),country of citizenship,What is the country of citizenship of Prince Es sterhdzy?,Hungary
"And in the beautiful galleries of the Prince Es sterhdzy, (that munificent patron | of: Art) one can, at least, recall in imagination some- strains of the choice ¢hamber music. of, Beethoven, to which their walls echoed in the presence of the great master, and in his palmiest days. os se I was much impressed by the fine monument of the Archduchess Christina, by Canova, which stands in the Church of the Augustines.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"And in the beautiful galleries of the Prince Es sterhdzy, (that munificent patron | of: Art) one can, at least, recall in imagination some- strains of the choice ¢hamber music. of, Beethoven, to which their walls echoed in the presence of the great master, and in his palmiest days. os se I was much impressed by the fine monument of the Archduchess Christina, by Canova, which stands in the Church of the Augustines.",Canova,person,(Q5547),country of citizenship,What is the country of citizenship of Canova?,Republic of Venice
"This gentleman, whose talents and amiable enjoying disposition still preserve his memory in the lively affection and esteem of his acquaintance, was an admirable chamber singer, and particularly excelled in Mozart’s music, which he sang with the same accent and inflections of tone as Dragonetti on his bass.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"This gentleman, whose talents and amiable enjoying disposition still preserve his memory in the lively affection and esteem of his acquaintance, was an admirable chamber singer, and particularly excelled in Mozart’s music, which he sang with the same accent and inflections of tone as Dragonetti on his bass.",Dragonetti,person,(Q504490),country of citizenship,What is the country of citizenship of Dragonetti?,Republic of Venice
"Other pieces by Chopin, Leschetizky, Moszkowski, and Padetewski were rendered with a command of expression and facility of execution that more than once elicited enthusiastic applause from the audience, and necessitated her playing an extra piece at the close of her programme.",Chopin,person,(Q1268),country of citizenship,What is the country of citizenship of Chopin?,France; Russian Empire; French Second Republic; Duchy of Warsaw; Congress Poland
"Other pieces by Chopin, Leschetizky, Moszkowski, and Padetewski were rendered with a command of expression and facility of execution that more than once elicited enthusiastic applause from the audience, and necessitated her playing an extra piece at the close of her programme.",Leschetizky,person,(Q362340),country of citizenship,What is the country of citizenship of Leschetizky?,Poland; Russian Empire
"Other pieces by Chopin, Leschetizky, Moszkowski, and Padetewski were rendered with a command of expression and facility of execution that more than once elicited enthusiastic applause from the audience, and necessitated her playing an extra piece at the close of her programme.",Moszkowski,person,(Q322427),country of citizenship,What is the country of citizenship of Moszkowski?,Poland; France
"Other pieces by Chopin, Leschetizky, Moszkowski, and Padetewski were rendered with a command of expression and facility of execution that more than once elicited enthusiastic applause from the audience, and necessitated her playing an extra piece at the close of her programme.",Padetewski,person,(Q191957),country of citizenship,What is the country of citizenship of Padetewski?,United States; Poland; United Kingdom
"It was at this period, as we learn from history, and from' Tinctor himself in one of his treatises, that the Flemish school of music began to form itself on the model of that of France, at that time the most celebrated in Europe.",Tinctor,person,(Q370512),country of citizenship,What is the country of citizenship of Tinctor?,Seventeen Provinces
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Ben Davies,person,(Q4888470),country of citizenship,What is the country of citizenship of Ben Davies?,Wales; United Kingdom; United Kingdom of Great Britain and Ireland
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Herr Rosenthal,person,(Q213772),country of citizenship,What is the country of citizenship of Herr Rosenthal?,United States; Poland
