sentence,span,type,uri,relation,question,gold familyName
"At a second Advent Service, on the 12th ult., the “Last Judgment” of Spohr was. given, but without an orchestra, its place being filled at the organ as efficiently as it could be by Mr. G. R. Sinclair, the organist of Hereford Cathedral.",Mr. G. R. Sinclair,person,(Q5543957),family name,What is the family name of Mr. G. R. Sinclair?,
"At Ann’s Road Church, Heeley, Sterndale Bennett’s ‘May Queen’ formed one of a series of admirable services: and concerts, and Oxford Street Chapel, another suburban centre of musical activity, was the /oca / e of a particularly good all - round performance of ‘The Creation’ under Mr. Joseph Kaye.",Sterndale Bennett,person,(Q201164),family name,What is the family name of Sterndale Bennett?,Bennett
"Two of these compositions have been published, and are as follows: — Morgengruss an Goethe, & y., (Morning Salutation to Goéthe on his Birth - day); the poetry by F. W. Riemar, the music for two sopranos, tenor and basy by C. Eberwein, with an aceompaniment for the piano, (Bpth in score, andin parts.)",C. Eberwein,person,(Q216234),family name,What is the family name of C. Eberwein?,Eberwein
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Kraus - Wranisky,person,(Q55895823),family name,What is the family name of Madame Kraus - Wranisky?,Kraus
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Seidler,person,(Q6373188),family name,What is the family name of Madame Seidler?,Seidler
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Pasta,person,(Q240963),family name,What is the family name of Pasta?,Pasta
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Mademoiselle Lalande,person,(Q3132487),family name,What is the family name of Mademoiselle Lalande?,
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Madame : Ronzi di Begnis,person,(Q3266332),family name,What is the family name of Madame : Ronzi di Begnis?,
"The Choral Society opened its sixteenth season in the Drill Hall on November 2 with a complete Elgar programme: ‘The Black Knight,’ ‘The Banner of St. George,’ ‘Imperial March,’ ‘In Hammersbach’ (from ‘The Bavarian Highlands’), and the ‘Pomp and Circumstance’ March No. 1.",Elgar,person,(Q179631),family name,What is the family name of Elgar?,Elgar
"From evounds ‘of reflection, the Opera Seria; to which he had paid the tribute of - his youth, accompanied by thé most brilliant suc“cess, in Italy, disgusted him; and he began to reflect radically upon the conditions.of lyric I al tragedy, triéd to bring them ‘into application in his Orfeo, and developed them in writing in the { L preface to his Aleeste, which he dedicated to the ii grand * duke of Tuscany.",grand * duke of Tuscany,person,(Q151321),family name,What is the family name of grand * duke of Tuscany?,Habsburg-Lothringen
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Eugéne Sue,person,(Q315220),family name,What is the family name of Eugéne Sue?,Sue
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Soulié,person,(Q2031275),family name,What is the family name of Soulié?,
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Gluck,person,(Q130759),family name,What is the family name of Gluck?,Gluck
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Malibran,person,(Q232783),family name,What is the family name of Malibran?,García; Sitches
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Paer,person,(Q533022),family name,What is the family name of Paer?,Paër
"At who think with us that the selection of operatic works for performance in any country should not be bounded by geographical restrictions, can not but feel gratifled that the lessee of the Royal Italian Opera no longer confines himself to the creations of foreign composers; but, welcoming good music wherever it can be found, has chosen Mr. Mackenzie’s highly successful opera ‘Colomba”’ as one of the chief attractions of the coming season.",Mr. Mackenzie,person,(Q674739),family name,What is the family name of Mr. Mackenzie?,Mackenzie
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),family name,What is the family name of Jarnowick?,Giornovichi
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",J. B. Cramer,person,(Q455212),family name,What is the family name of J. B. Cramer?,Cramer
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),family name,What is the family name of Jarnowick?,Giornovichi
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),family name,What is the family name of Carey?,Carey
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",John Christopher,person,(Q11727869),family name,What is the family name of John Christopher?,Smith
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),family name,What is the family name of Smith?,Smith
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),family name,What is the family name of Carey?,Carey
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),family name,What is the family name of Smith?,Smith
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),family name,What is the family name of Carey?,Carey
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Vinci,person,(Q29577),family name,What is the family name of Vinci?,Q36856555
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Porpora,person,(Q312788),family name,What is the family name of Porpora?,Porpora
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Leo,person,(Q316735),family name,What is the family name of Leo?,Leo
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Durante,person,(Q2286657),family name,What is the family name of Durante?,Durante
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",Dr. John Bull,person,(Q511463),family name,What is the family name of Dr. John Bull?,Bull
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",James I,person,(Q79972),family name,What is the family name of James I?,Stuart
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),family name,What is the family name of Jomelli?,Q112813171
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Gluck,person,(Q130759),family name,What is the family name of Gluck?,Gluck
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),family name,What is the family name of Jomelli?,Q112813171
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Hasse,person,(Q164732),family name,What is the family name of Hasse?,Hasse
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Bach,person,(Q1339),family name,What is the family name of Bach?,Bach
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Spohr,person,(Q57226),family name,What is the family name of Spohr?,Spohr
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Gaul,person,(Q4723319),family name,What is the family name of Gaul?,Gaul
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Adelina Patti,person,(Q234166),family name,What is the family name of Madame Adelina Patti?,Patti
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Sembrich,person,(Q265698),family name,What is the family name of Madame Sembrich?,Kochański
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdlle . De Vere,person,(Q19998212),family name,What is the family name of Mdlle . De Vere?,Sapio; de Vère
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Scalchi,person,(Q7553670),family name,What is the family name of Madame Scalchi?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Nicolini,person,(Q3083329),family name,What is the family name of Signor Nicolini?,Nicolini
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Marconi,person,(Q5479431),family name,What is the family name of Signor Marconi?,Marconi
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Soulacroix,person,(Q5515856),family name,What is the family name of M. Soulacroix?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Mierzwinski,person,(Q5986416),family name,What is the family name of Signor Mierzwinski?,Mierzwiński
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Cotogni,person,(Q2562468),family name,What is the family name of Signor Cotogni?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",M. Devoyod,person,(Q27928845),family name,What is the family name of M. Devoyod?,Devoyod
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Tartini,person,(Q108555),family name,What is the family name of Tartini?,Tartini
"A capital programme on the 23rd drew a full audience, the general public beinz attracted by Beethoven's Rasoumowski Quartet in F, No. 1, and Tartini'’s ‘Trillo del Diavolo,”” and musicians by Grieg’s Sonata in F, for piano and violin, Op. 8.",Grieg,person,(Q80621),family name,What is the family name of Grieg?,Grieg
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",Mercadante,person,(Q313980),family name,What is the family name of Mercadante?,Mercadante
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",M. Guénée,person,(Q23901679),family name,What is the family name of M. Guénée?,Guénée
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",William Shakspeare,person,(Q692),family name,What is the family name of William Shakspeare?,Shakespeare
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Rossint,person,(Q9726),family name,What is the family name of Rossint?,Rossini
"One man may lived, who ean read the heart, and whose power was not: based upon, his own experience ‘but if so, we may well call William Shakspeare superhuman, THenee it was that whiffe i m ~ Rossint’s “Barber of Seville,” ar Cimarosa’s « Seeret Marriage.”",Cimarosa,person,(Q191775),family name,What is the family name of Cimarosa?,Cimarosa
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Bach,person,(Q1339),family name,What is the family name of Bach?,Bach
"I have read with much pleasure the account you have given in THE Musica Times of the early introduction of Bach’s organ music in England, and perhaps you may be interested to know a little personal reminiscence I have of Jacob’s duet arrangement of the ‘St. Ann’s Fugue.”",Jacob,person,(Q1339),family name,What is the family name of Jacob?,Bach
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Dr. Chrysander,person,(Q65274),family name,What is the family name of Dr. Chrysander?,Chrysander
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,person,(Q189544),family name,What is the family name of Adolphe Adam?,Adam
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Maurice Bourges,person,(Q73128734),family name,What is the family name of Maurice Bourges?,Bourges
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",M. Bourges,person,(Q73128734),family name,What is the family name of M. Bourges?,Bourges
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Paganini,person,(Q66075),family name,What is the family name of Paganini?,Paganini
"In 1824 her family was residing at Paris, where she received, musical instruction from M. Fétis, at present: director of the Brussels Conse rratoire, author of the Biographie Universelle de Musiciens, together with many didactic works, and compos at that time prefessor in the Conservatoire of ‘Paris.",M. Fétis,person,(Q523581),family name,What is the family name of M. Fétis?,Fétis
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Auber,person,(Q157672),family name,What is the family name of Auber?,Auber
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Schiller,person,(Q22670),family name,What is the family name of Schiller?,Schiller; von Schiller
"With respect to the pieces given, the following seven are new to our theatre: Die sieben Midchen, Das Hausgesinde, Der Unsichibare, Die Ochsenmenuett, Staberls Reise - abentheuer, ‘and Le Macon by Auber; Macbeth in Schiller’s translation, ‘and with Reichardt’s music, is also new to us.",Reichardt,person,(Q213742),family name,What is the family name of Reichardt?,Reichardt
"« The opera is in three acts, music composed by Bishop, then -a young man, and beeomting very popular, “Clari, or the. Maid of Milan,” was avted for the first time at Covent Garden Theatre, May 8 1823, w ith the following east:.",Bishop,person,(Q1200639),family name,What is the family name of Bishop?,Bishop
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Miss Zimmermann,person,(Q4693137),family name,What is the family name of Miss Zimmermann?,Zimmermann
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Mr. Santley,person,(Q521746),family name,What is the family name of Mr. Santley?,Santley
"Whether this kind of thing is permissible is open to question; but the audience settled the matter in the affirmative by encoring the performer. Miss Zimmermann gave Mendelssohn’s familiar Caprice in E, Op. 33, and Mr. Santley sang two equally familiar airs by Handel.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mrs. Shaw,person,(Q3291051),family name,What is the family name of Mrs. Shaw?,Shaw
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mr. Phillips,person,(Q18671452),family name,What is the family name of Mr. Phillips?,Phillips
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Salvator Rosa,person,(Q359421),family name,What is the family name of Salvator Rosa?,Rosa
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Dr. Coward,person,(Q5719907),family name,What is the family name of Dr. Coward?,Coward
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Verdi,person,(Q7317),family name,What is the family name of Verdi?,Verdi
