sentence,span,type,uri,relation,question,gold DoB
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Madame ’,person,(NIL),date of birth,What is the date of birth of Madame ’?,
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Graziani,person,(NIL),date of birth,What is the date of birth of Graziani?,
"Once again the same very peculiar metre appears in a hymn tune which Dr. Gauntlett ascribes to one Braun (whoever he may have been) as the author, and to the year 1675 asthe date; and this coincidence, if the ascription be authentic, is as curious as the other.",Braun,person,(NIL),date of birth,What is the date of birth of Braun?,
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Gibbons,person,(NIL),date of birth,What is the date of birth of Gibbons?,
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Child,person,(NIL),date of birth,What is the date of birth of Child?,
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Miss Marshall,person,(NIL),date of birth,What is the date of birth of Miss Marshall?,
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Mrs. Bushe,person,(NIL),date of birth,What is the date of birth of Mrs. Bushe?,
"At Ann’s Road Church, Heeley, Sterndale Bennett’s ‘May Queen’ formed one of a series of admirable services: and concerts, and Oxford Street Chapel, another suburban centre of musical activity, was the /oca / e of a particularly good all - round performance of ‘The Creation’ under Mr. Joseph Kaye.",Mr. Joseph Kaye,person,(NIL),date of birth,What is the date of birth of Mr. Joseph Kaye?,
"Two of these compositions have been published, and are as follows: — Morgengruss an Goethe, & y., (Morning Salutation to Goéthe on his Birth - day); the poetry by F. W. Riemar, the music for two sopranos, tenor and basy by C. Eberwein, with an aceompaniment for the piano, (Bpth in score, andin parts.)",F. W. Riemar,person,(NIL),date of birth,What is the date of birth of F. W. Riemar?,
"The Librarian of the College, the Rev. H. A. Wilson, has kindly made the following digest of a portion of - the aforesaid testamentary dispositions: Edward Ascough of Wynthorp, in his will dated 4th July, 1520, leaves all his lands in Wynthorp to his wife for her life.",Rev. H. A. Wilson,person,(NIL),date of birth,What is the date of birth of Rev. H. A. Wilson?,
"The Librarian of the College, the Rev. H. A. Wilson, has kindly made the following digest of a portion of - the aforesaid testamentary dispositions: Edward Ascough of Wynthorp, in his will dated 4th July, 1520, leaves all his lands in Wynthorp to his wife for her life.",Edward Ascough,person,(NIL),date of birth,What is the date of birth of Edward Ascough?,
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Miss Marshall,person,(NIL),date of birth,What is the date of birth of Miss Marshall?,
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Miss Birch,person,(NIL),date of birth,What is the date of birth of Miss Birch?,
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Miss Birch,person,(NIL),date of birth,What is the date of birth of Miss Birch?,
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",C. ]. Stevens,person,(NIL),date of birth,What is the date of birth of C. ]. Stevens?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Maria Durand,person,(NIL),date of birth,What is the date of birth of Madame Maria Durand?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdlle . Reggiani,person,(NIL),date of birth,What is the date of birth of Mdlle . Reggiani?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdille . Tremelli,person,(NIL),date of birth,What is the date of birth of Mdille . Tremelli?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor De Reszké,person,(NIL),date of birth,What is the date of birth of Signor De Reszké?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Monti,person,(NIL),date of birth,What is the date of birth of Signor Monti?,
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Novara,person,(NIL),date of birth,What is the date of birth of Signor Novara?,
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",Sauvage,person,(NIL),date of birth,What is the date of birth of Sauvage?,
"After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.",Dupin,person,(NIL),date of birth,What is the date of birth of Dupin?,
"Dr. Chrysander, who was evidently unaware of the above statement in Parker’s Penny Post, draws certain conclusions from some memoranda by Handel in regard to the names and number of singers; but these probably refer to a subsequent concert performance.",Parker,person,(NIL),date of birth,What is the date of birth of Parker?,
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",M. Vivier,person,(NIL),date of birth,What is the date of birth of M. Vivier?,
"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",M. Vivier,person,(NIL),date of birth,What is the date of birth of M. Vivier?,
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Stretton,person,(NIL),date of birth,What is the date of birth of Stretton?,
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mr. Manvers,person,(NIL),date of birth,What is the date of birth of Mr. Manvers?,
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Mr. Suckley,person,(NIL),date of birth,What is the date of birth of Mr. Suckley?,
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Mr. W. Brown,person,(NIL),date of birth,What is the date of birth of Mr. W. Brown?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Arthur Bent,person,(NIL),date of birth,What is the date of birth of Arthur Bent?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Wallace Sutcliffe,person,(NIL),date of birth,What is the date of birth of Wallace Sutcliffe?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Percy Kearne,person,(NIL),date of birth,What is the date of birth of Percy Kearne?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Paul Ludwig,person,(NIL),date of birth,What is the date of birth of Paul Ludwig?,
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Tennyson Werge,person,(NIL),date of birth,What is the date of birth of Tennyson Werge?,
"A numerous and highly respectable meeting was held in the Town Hall on the 25th Oct., to aid the establishment - of a Normal Music school in Manchester, and to afford Dr. Mainzer an opportunity of explaining the character and object of the proposed institution.",Dr. Mainzer,person,(NIL),date of birth,What is the date of birth of Dr. Mainzer?,
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Miss Gertrude Bevan,person,(NIL),date of birth,What is the date of birth of Miss Gertrude Bevan?,
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Miss Ellen M. Bowick,person,(NIL),date of birth,What is the date of birth of Miss Ellen M. Bowick?,
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Edith Byford,person,(NIL),date of birth,What is the date of birth of Edith Byford?,
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Mabel E. Colyer,person,(NIL),date of birth,What is the date of birth of Mabel E. Colyer?,
"In the course of the late season of morning concerts, we heard one of the best glees of Webbe, which we had not heard for thirty years before, when it was performed by the Vaughans, Knyvetts, & c., at a concert given by a Miss Bonwick, at the London Tavern",Vaughans,person,(NIL),date of birth,What is the date of birth of Vaughans?,
"In the course of the late season of morning concerts, we heard one of the best glees of Webbe, which we had not heard for thirty years before, when it was performed by the Vaughans, Knyvetts, & c., at a concert given by a Miss Bonwick, at the London Tavern",Knyvetts,person,(NIL),date of birth,What is the date of birth of Knyvetts?,
"In the course of the late season of morning concerts, we heard one of the best glees of Webbe, which we had not heard for thirty years before, when it was performed by the Vaughans, Knyvetts, & c., at a concert given by a Miss Bonwick, at the London Tavern",Miss Bonwick,person,(NIL),date of birth,What is the date of birth of Miss Bonwick?,
"Signora Cornega arrived in England at the close of last season, just in time to be heard at one or two concerts, where she sung “© Una voce” from Ii Barbiere with uncommon neatness of exccution, anda good deal of inventive fancy.",Signora Cornega,person,(NIL),date of birth,What is the date of birth of Signora Cornega?,
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Miss Esther Palliser,person,(NIL),date of birth,What is the date of birth of Miss Esther Palliser?,
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Madame Marian McKenzie,person,(NIL),date of birth,What is the date of birth of Madame Marian McKenzie?,
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Douglas Powell,person,(NIL),date of birth,What is the date of birth of Douglas Powell?,
"As grace they sung a “Sanctus,” by Orlando Gibbons, upon which the Rev. Conductor made some interesting remarks, and on the excellence of the older English Church Music, congratulating his auditors on the brighter prospects for solid music, man. arising from the production of convenient and cheap copies sting In Inconsistent contrast to the other Psalms at / of the excellent music which had so long lain dormant in Morning Prayer.",Rev. Conductor,person,(NIL),date of birth,What is the date of birth of Rev. Conductor?,
"Mr. Moody was born at Dennis Park, Stourbridge, March 22, 1874, was first a pupil of Mr. G. W. Bates, organist of the parish church at that time, and subsequently an articled pupil of Mr. Westlake Morgan, organist of Bangor Cathedral; but he received many valuable hints, especially on accompaniment to the choral service, from the late Sir John Stainer, who, up to the time of his death, took the greatest interest in his young friend’s career.",Mr. Moody,person,(NIL),date of birth,What is the date of birth of Mr. Moody?,
"Mr. Moody was born at Dennis Park, Stourbridge, March 22, 1874, was first a pupil of Mr. G. W. Bates, organist of the parish church at that time, and subsequently an articled pupil of Mr. Westlake Morgan, organist of Bangor Cathedral; but he received many valuable hints, especially on accompaniment to the choral service, from the late Sir John Stainer, who, up to the time of his death, took the greatest interest in his young friend’s career.",Mr. G. W. Bates,person,(NIL),date of birth,What is the date of birth of Mr. G. W. Bates?,
"Mr. Moody was born at Dennis Park, Stourbridge, March 22, 1874, was first a pupil of Mr. G. W. Bates, organist of the parish church at that time, and subsequently an articled pupil of Mr. Westlake Morgan, organist of Bangor Cathedral; but he received many valuable hints, especially on accompaniment to the choral service, from the late Sir John Stainer, who, up to the time of his death, took the greatest interest in his young friend’s career.",Mr. Westlake Morgan,person,(NIL),date of birth,What is the date of birth of Mr. Westlake Morgan?,
"Despite this drawback, the Concert wasa brilliant success, and Dr. Mackenzie’s abilities as a conductor were watmly recognised. Mr. Brodsky, the new leader of the Hallé band, made a most tavourable impression on his first appearance before a Leeds audience by his highly poetic and technically perfect playing of the Mendelssohn Concerto, and Madame Marian McKenzie contributed several songs with good effect.",Madame Marian McKenzie,person,(NIL),date of birth,What is the date of birth of Madame Marian McKenzie?,
"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,person,(NIL),date of birth,What is the date of birth of Angele Cordier?,
"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Lagraye,person,(NIL),date of birth,What is the date of birth of Lagraye?,
"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall.",Beck Marshall,person,(NIL),date of birth,What is the date of birth of Beck Marshall?,
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Pacsicllé,person,(NIL),date of birth,What is the date of birth of Pacsicllé?,
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Chert,person,(NIL),date of birth,What is the date of birth of Chert?,
"When Paganini returned from France and England, he was called upon frequently by the young artist, to hear him play and ask his advice; and although at this time the great violinist was grievously indisposed, he neither withheld his playing nor refused his assistance to his young friend. M. Dellepiane, who was first violin at the Theatre Carlo Felice at Genoa, and master of the Conservatoire of the same city, was taken ill;",M. Dellepiane,person,(NIL),date of birth,What is the date of birth of M. Dellepiane?,
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Momrt,person,(NIL),date of birth,What is the date of birth of Momrt?,
"The Scottish Orchestra has again been engaged, under its fourth conductor, Mr. Frederic H. Cowen; and the Edinburgh Choral Union, Mr. Kirkhope’s and Mr. Moonie’s choirs (the latter for the first time) will take part in the scheme.",Mr. Kirkhope,person,(NIL),date of birth,What is the date of birth of Mr. Kirkhope?,
"The Scottish Orchestra has again been engaged, under its fourth conductor, Mr. Frederic H. Cowen; and the Edinburgh Choral Union, Mr. Kirkhope’s and Mr. Moonie’s choirs (the latter for the first time) will take part in the scheme.",Mr. Moonie,person,(NIL),date of birth,What is the date of birth of Mr. Moonie?,
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Madame San Carolo,person,(NIL),date of birth,What is the date of birth of Madame San Carolo?,
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",M. Sons,person,(NIL),date of birth,What is the date of birth of M. Sons?,
"She also gave a good interpretation of the ‘Hymne au Soleil,” without, however, causing us to forget Madame Collier's fine rendering of this number at the Société de Musique d’Ensemble, and at the Bodiniére",Madame Collier,person,(NIL),date of birth,What is the date of birth of Madame Collier?,
"The fine Organ made by Mr. Schrieder, which was setup in Westminster Abbey, and used on the Day of the Coronation, has been presented to the said Abbey by his. Majesty.",Mr. Schrieder,person,(NIL),date of birth,What is the date of birth of Mr. Schrieder?,
"When Meyerbeer was last in England (in 1832), he came to preside over the rehearsals of his Robert le Diable, on the occasion of that celebrated opera being produced, by Mr. Monck Mason, at Her Majesty’s Theatre.",Mr. Monck Mason,person,(NIL),date of birth,What is the date of birth of Mr. Monck Mason?,
"The operetta opens with a short overture describing moonlight on the Dovrefeld Mountains, and Mr. Gaui has been particularly happy in infusing the Norse spirit into that portion of his music which deals with goblin life in Norway.",Mr. Gaui,person,(NIL),date of birth,What is the date of birth of Mr. Gaui?,
"Among the documents preserved in the archives of Magdalen College, Oxford, is the will of one Edward Ascough, of Wynthorp (now Winthorpe), a village on the Lincolnshire coast, two miles north of Skegness",Edward Ascough,person,(NIL),date of birth,What is the date of birth of Edward Ascough?,
"Mdlle. Carrozi, a harpist of great ability, whom Mr. Newman has engaged for his orchestra, played her first harp solo at the Queen’s Hall, on the rst ult., and proved herself to be an interesting player",Mdlle . Carrozi,person,(NIL),date of birth,What is the date of birth of Mdlle . Carrozi?,
"The Saturday Popular Concerts have also started with a very satisfactory performance, under the direction of Dr. Bunnett, at which the Misses Lefroy and Mr. Knyvet Wilson were the vocalists, and Miss Dorothea Whitley contributed some violin solos",Dr. Bunnett,person,(NIL),date of birth,What is the date of birth of Dr. Bunnett?,
"The Saturday Popular Concerts have also started with a very satisfactory performance, under the direction of Dr. Bunnett, at which the Misses Lefroy and Mr. Knyvet Wilson were the vocalists, and Miss Dorothea Whitley contributed some violin solos",Misses Lefroy,person,(NIL),date of birth,What is the date of birth of Misses Lefroy?,
"The Saturday Popular Concerts have also started with a very satisfactory performance, under the direction of Dr. Bunnett, at which the Misses Lefroy and Mr. Knyvet Wilson were the vocalists, and Miss Dorothea Whitley contributed some violin solos",Mr. Knyvet Wilson,person,(NIL),date of birth,What is the date of birth of Mr. Knyvet Wilson?,
"The Saturday Popular Concerts have also started with a very satisfactory performance, under the direction of Dr. Bunnett, at which the Misses Lefroy and Mr. Knyvet Wilson were the vocalists, and Miss Dorothea Whitley contributed some violin solos",Miss Dorothea Whitley,person,(NIL),date of birth,What is the date of birth of Miss Dorothea Whitley?,
"J. Teinturier, called Tinctoror Tinctoris, according to the custom that then prevailed of latinizing names, was born at Nivelle, a town in Brabant, between -the years 1430 and 1440.",J. Teinturier,person,(NIL),date of birth,What is the date of birth of J. Teinturier?,
"The prospectus announces that this work, translated into Italian, and the principal part sustained by Madame Pauline Lucca, will positively be produced, Mdlle. Gertrude Griswold (who will make her first appearance on the stage in England), being also included in the cast.",Mdlle . Gertrude Griswold,person,(NIL),date of birth,What is the date of birth of Mdlle . Gertrude Griswold?,
"A very worthy local organisation, the Amateur Orchestral Society, under the able direction of Mr. Ralph Horner, is Schumann’s “Advent Hymn.” again in full activity, rehearsing for its Concert to take place this month.",Mr. Ralph Horner,person,(NIL),date of birth,What is the date of birth of Mr. Ralph Horner?,
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Herr Reichardt,person,(NIL),date of birth,What is the date of birth of Herr Reichardt?,
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Mr. Arthur Bent,person,(NIL),date of birth,What is the date of birth of Mr. Arthur Bent?,
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Dr. Bates,person,(NIL),date of birth,What is the date of birth of Dr. Bates?,
"Mr. Hepmonnpt’s brief but ambitious season of opera in English, at Covent Garden Theatre, ended on the oth ult., the final additions to the repertory being those effective but lurid little works ‘Cavalleria Rusticana”’ and ‘Pag‘liacci.””.",Mr. Hepmonnpt,person,(NIL),date of birth,What is the date of birth of Mr. Hepmonnpt?,
"Miss Katie Goopson, who gave her first Recital in London, at St. James’s Hall, on the 3rd ult., is one of the most promising young pianists who have been heard in London for some time past.",Miss Katie Goopson,person,(NIL),date of birth,What is the date of birth of Miss Katie Goopson?,
"Several glees were sung in the course of the evening, and the following songs: — * Mary Morrison,” by Mr. Wilson; “Norma,” by Mr. John Parry; “Remembrance,” by Mr. Ferrari (his own composition), and “I'll be true to thee,” by Mr. Manvers.",Mr. Wilson,person,(NIL),date of birth,What is the date of birth of Mr. Wilson?,
"Several glees were sung in the course of the evening, and the following songs: — * Mary Morrison,” by Mr. Wilson; “Norma,” by Mr. John Parry; “Remembrance,” by Mr. Ferrari (his own composition), and “I'll be true to thee,” by Mr. Manvers.",Mr. John Parry,person,(NIL),date of birth,What is the date of birth of Mr. John Parry?,
"Several glees were sung in the course of the evening, and the following songs: — * Mary Morrison,” by Mr. Wilson; “Norma,” by Mr. John Parry; “Remembrance,” by Mr. Ferrari (his own composition), and “I'll be true to thee,” by Mr. Manvers.",Mr. Ferrari,person,(NIL),date of birth,What is the date of birth of Mr. Ferrari?,
