sentence,span,type,uri,relation,question,gold occupation
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Spinoza,person,(Q35802),occupation,What is the occupation of Spinoza?,theologian; political scientist; philosopher; grammarian; Bible translator; grinder of lenses
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Sir Isaac Newton,person,(Q935),occupation,What is the occupation of Sir Isaac Newton?,mathematician; philosopher
"The rumour that the Church Choral Society will not sing this season has received recent confirmation, and this, if true, will leave the field in New York for choruses of moderate size open to the Musical Art Society (under Mr. Frank Damrosch), the New York Musical Society (under Mr. Dossert), and the new Harlem Oratorio Society.",Mr. Frank Damrosch,person,(Q962237),occupation,What is the occupation of Mr. Frank Damrosch?,conductor; music educator
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Servilia,person,(Q63534091),occupation,What is the occupation of Servilia?,
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Annio,person,(Q63534077),occupation,What is the occupation of Annio?,
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Dr. Crotch,person,(Q718709),occupation,What is the occupation of Dr. Crotch?,composer; organist; painter; music educator
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Madame Caradori,person,(Q16065895),occupation,What is the occupation of Madame Caradori?,opera singer
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Miss Stephens,person,(Q5052928),occupation,What is the occupation of Miss Stephens?,actor; opera singer
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Miss Paton,person,(Q16888398),occupation,What is the occupation of Miss Paton?,singer; vocalist; opera singer
"The principal novelty of the Concert on the 1st ult. was “La Naissance de Venus,’ scéne mythologique, by M. Paul Collin, set to music by M. G. Fauré, an important work carefully scored, but wanting in the charm to which this.graceful composer has accustomed us.",M. Paul Collin,person,(Q3370911),occupation,What is the occupation of M. Paul Collin?,poet; librettist
"The principal novelty of the Concert on the 1st ult. was “La Naissance de Venus,’ scéne mythologique, by M. Paul Collin, set to music by M. G. Fauré, an important work carefully scored, but wanting in the charm to which this.graceful composer has accustomed us.",M. G. Fauré,person,(Q104919),occupation,What is the occupation of M. G. Fauré?,composer; teacher; chapelmaster; pianist; organist; university teacher; musicologist; music educator
"Once again the same very peculiar metre appears in a hymn tune which Dr. Gauntlett ascribes to one Braun (whoever he may have been) as the author, and to the year 1675 asthe date; and this coincidence, if the ascription be authentic, is as curious as the other.",Dr. Gauntlett,person,(Q11925412),occupation,What is the occupation of Dr. Gauntlett?,composer; organist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Tallis,person,(Q207789),occupation,What is the occupation of Tallis?,composer
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Birde,person,(Q208375),occupation,What is the occupation of Birde?,composer; organist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Morley,person,(Q438141),occupation,What is the occupation of Morley?,composer; organist; musicologist; music theorist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Farrant,person,(Q7325622),occupation,What is the occupation of Farrant?,composer; playwright; choir director
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Blow,person,(Q311110),occupation,What is the occupation of Blow?,composer; singer; organist; music educator
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Purcell,person,(Q9695),occupation,What is the occupation of Purcell?,composer; author; organist; musicologist; music theorist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Croft,person,(Q1236164),occupation,What is the occupation of Croft?,composer; organist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Greene,person,(Q615819),occupation,What is the occupation of Greene?,composer; organist
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Boyce,person,(Q313152),occupation,What is the occupation of Boyce?,composer
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Nares,person,(Q463998),occupation,What is the occupation of Nares?,composer; organist
"John Bull would be a fitting name, in truth, for the composer of the English National Anthem; the validity of the assignment, however, is stronger with reference to the people who have adopted the tune in one form and altered it into another to please themselves, than to the learned musician who composed a piece with the same number of bars.",John Bull,person,(Q511463),occupation,What is the occupation of John Bull?,composer; organist; harpsichordist; music professor
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Bellini,person,(Q170209),occupation,What is the occupation of Bellini?,composer
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Pacini,person,(Q357022),occupation,What is the occupation of Pacini?,composer; teacher; chapelmaster
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Zingarelli,person,(Q505202),occupation,What is the occupation of Zingarelli?,composer; conductor; chapelmaster; organist; musicologist
"The rest of the concert was made up ofan exhibition on the violoncello, during which the “veteran” delighted us with “Polly put the kettle on’ — some sentimentalities by Bellini, Pacini and Zingarelli, and the worn out terzetto from Il Matrimonio Segretto, which by this time I am quite tired of, thongh Miss Marshall, Mrs. Shaw and Mrs. Bushe did it ample justice, as far as singing went — I say nothing about acting.",Mrs. Shaw,person,(Q3291051),occupation,What is the occupation of Mrs. Shaw?,opera singer
"In the twenty - fifth number of our new series (January 1830), appeared a review of a work of great science, learning, and merit, under the title of Instructions to my Daughter for Playing on the Enharmonic Guitar, written by Lieutenant - Colonel Perronet.",Lieutenant - Colonel Perronet,person,(Q4670375),occupation,What is the occupation of Lieutenant - Colonel Perronet?,politician
"We may mention as a remarkable circumstance, that on the evening of the night on which he was born, his mother, notwithstanding the delicacy of her situation, was induced to go to a concert given by Paganini at the Teatro Santo Augustino in Genoa; when the performance of the great Maestro produced such an effect on her mind and nerves as to precipitate her accouchement, and the young Sivori came into the world somewhat before his time.",Paganini,person,(Q66075),occupation,What is the occupation of Paganini?,composer; guitarist; violist; violinist; classical composer; violin virtuos
"We may mention as a remarkable circumstance, that on the evening of the night on which he was born, his mother, notwithstanding the delicacy of her situation, was induced to go to a concert given by Paganini at the Teatro Santo Augustino in Genoa; when the performance of the great Maestro produced such an effect on her mind and nerves as to precipitate her accouchement, and the young Sivori came into the world somewhat before his time.",Sivori,person,(Q1029423),occupation,What is the occupation of Sivori?,composer; violinist
"At a second Advent Service, on the 12th ult., the “Last Judgment” of Spohr was. given, but without an orchestra, its place being filled at the organ as efficiently as it could be by Mr. G. R. Sinclair, the organist of Hereford Cathedral.",Spohr,person,(Q57226),occupation,What is the occupation of Spohr?,composer; conductor; musician; violinist; musicologist; music educator
"At a second Advent Service, on the 12th ult., the “Last Judgment” of Spohr was. given, but without an orchestra, its place being filled at the organ as efficiently as it could be by Mr. G. R. Sinclair, the organist of Hereford Cathedral.",Mr. G. R. Sinclair,person,(Q5543957),occupation,What is the occupation of Mr. G. R. Sinclair?,conductor; organist
"At Ann’s Road Church, Heeley, Sterndale Bennett’s ‘May Queen’ formed one of a series of admirable services: and concerts, and Oxford Street Chapel, another suburban centre of musical activity, was the /oca / e of a particularly good all - round performance of ‘The Creation’ under Mr. Joseph Kaye.",Sterndale Bennett,person,(Q201164),occupation,What is the occupation of Sterndale Bennett?,composer; conductor; pianist; university teacher; music educator
"Two of these compositions have been published, and are as follows: — Morgengruss an Goethe, & y., (Morning Salutation to Goéthe on his Birth - day); the poetry by F. W. Riemar, the music for two sopranos, tenor and basy by C. Eberwein, with an aceompaniment for the piano, (Bpth in score, andin parts.)",C. Eberwein,person,(Q216234),occupation,What is the occupation of C. Eberwein?,composer; conductor; musician; violinist
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Kraus - Wranisky,person,(Q55895823),occupation,What is the occupation of Madame Kraus - Wranisky?,opera singer
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Madame Seidler,person,(Q6373188),occupation,What is the occupation of Madame Seidler?,singer; opera singer
"Madame Kraus - Wranisky is a singer superior to Madame Seidler, both in power and expression, although she is occasionally defective in execution; and, spite of a homely look and large person, does every thing with a grace and dignity strongly reminding me of Pasta.",Pasta,person,(Q240963),occupation,What is the occupation of Pasta?,opera singer
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Mademoiselle Lalande,person,(Q3132487),occupation,What is the occupation of Mademoiselle Lalande?,opera singer
"As a prima donna, Mademoiselle Lalande reminds me of Madame: Ronzi di Begnis in the force andenergy of her style; but, with an equality of talent as a musician and a charming person, as an actress she falls far short in the comparison.",Madame : Ronzi di Begnis,person,(Q3266332),occupation,What is the occupation of Madame : Ronzi di Begnis?,opera singer
"The Choral Society opened its sixteenth season in the Drill Hall on November 2 with a complete Elgar programme: ‘The Black Knight,’ ‘The Banner of St. George,’ ‘Imperial March,’ ‘In Hammersbach’ (from ‘The Bavarian Highlands’), and the ‘Pomp and Circumstance’ March No. 1.",Elgar,person,(Q179631),occupation,What is the occupation of Elgar?,composer; conductor
"From evounds ‘of reflection, the Opera Seria; to which he had paid the tribute of - his youth, accompanied by thé most brilliant suc“cess, in Italy, disgusted him; and he began to reflect radically upon the conditions.of lyric I al tragedy, triéd to bring them ‘into application in his Orfeo, and developed them in writing in the { L preface to his Aleeste, which he dedicated to the ii grand * duke of Tuscany.",grand * duke of Tuscany,person,(Q151321),occupation,What is the occupation of grand * duke of Tuscany?,politician
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Eugéne Sue,person,(Q315220),occupation,What is the occupation of Eugéne Sue?,writer; physician; politician; novelist
"We read, in a cotemporary, some cogent observations in reply to the “Morning Post,” on the subject of the Professorship, which we transfer, in part, to our pages: — were to dilate profusely on the Mystéres de Parts of our worthy friend Eugéne Sue, and the profound morality of Soulié’s Memoires du Diable — what would be the result?",Soulié,person,(Q2031275),occupation,What is the occupation of Soulié?,writer; librarian; playwright; journalist; novelist
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Gluck,person,(Q130759),occupation,What is the occupation of Gluck?,composer; conductor
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Malibran,person,(Q232783),occupation,What is the occupation of Malibran?,actor; composer; stage actor; opera singer
"Miss Marshall won golden opinions by her charming delivery of Gluck’s “Che faro,” and Miss Birch, sang the superb “Ah perfido” of Beethoven better than I have ever heard it sung, except by Malibran; in the ranting air (with violin obligato) from Paer’s dull opera of Griselda, Miss Birch was no less successful, but, from the inferior nature of the composition, much less agreeable.",Paer,person,(Q533022),occupation,What is the occupation of Paer?,composer; conductor; bandleader; musicologist
"At who think with us that the selection of operatic works for performance in any country should not be bounded by geographical restrictions, can not but feel gratifled that the lessee of the Royal Italian Opera no longer confines himself to the creations of foreign composers; but, welcoming good music wherever it can be found, has chosen Mr. Mackenzie’s highly successful opera ‘Colomba”’ as one of the chief attractions of the coming season.",Mr. Mackenzie,person,(Q674739),occupation,What is the occupation of Mr. Mackenzie?,composer; conductor; university teacher; music educator
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),occupation,What is the occupation of Jarnowick?,composer; violinist
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",J. B. Cramer,person,(Q455212),occupation,What is the occupation of J. B. Cramer?,composer; businessperson; pianist; publisher
"In 1792, Jarnowick repaired to London, where he t!:! i played at all the great concerts till the year 1796, when the well - known dispute took place between him and J. B. Cramer, which terminated in the loss of Jarnowick’s popu Jarity in this country.",Jarnowick,person,(Q1526160),occupation,What is the occupation of Jarnowick?,composer; violinist
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),occupation,What is the occupation of Carey?,writer; composer; poet
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",John Christopher,person,(Q11727869),occupation,What is the occupation of John Christopher?,composer
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),occupation,What is the occupation of Smith?,composer
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),occupation,What is the occupation of Carey?,writer; composer; poet
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Smith,person,(Q11727869),occupation,What is the occupation of Smith?,composer
"The strongest evidence for Carey’s claim should be an argument against it; for it isthe statement of John Christopher Smith, that Carey, unable to harmonize his own tune, asked Smith to write a bass to it; whereas in his Musical Century Carey has left plenty of proof that he was musician enough to put a very good bass to so simple a melody.",Carey,person,(Q1606590),occupation,What is the occupation of Carey?,writer; composer; poet
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Vinci,person,(Q29577),occupation,What is the occupation of Vinci?,composer; chapelmaster
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Porpora,person,(Q312788),occupation,What is the occupation of Porpora?,composer; music educator
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Leo,person,(Q316735),occupation,What is the occupation of Leo?,composer; organist
"The rival of Vinci and Porpora in dramatic composition, Leo was also desirous of emulating Durante in sacred music; and as in the former department of his art he had been by turns pathetic and gay, scientific and natural, so in the latter he attained to eminence, and produced numerous compositions of a character imposing, dignified, and sublime.",Durante,person,(Q2286657),occupation,What is the occupation of Durante?,composer
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",Dr. John Bull,person,(Q511463),occupation,What is the occupation of Dr. John Bull?,composer; organist; harpsichordist; music professor
"It is a curious coincidence, to say the least of it, that an air with the same rhythmical*peculiarity — a peculiarity which is almost individualexists in a transcript of compositions by Dr. John Bull, the musical professor of Gresham College in the time of James I, and this has given occasion for the setting up in his favour of a claim to the authorship.",James I,person,(Q79972),occupation,What is the occupation of James I?,monarch; writer; poet; aristocrat
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),occupation,What is the occupation of Jomelli?,composer; musicologist
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Gluck,person,(Q130759),occupation,What is the occupation of Gluck?,composer; conductor
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Jomelli,person,(Q312891),occupation,What is the occupation of Jomelli?,composer; musicologist
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Hasse,person,(Q164732),occupation,What is the occupation of Hasse?,composer; singer; chapelmaster; music educator
"Music, learned and ingenicus, like that of Jomelli, abounding in harniony and con trivance, and requiring a careful execution, and the utmost stillness and attention in the audience, would not satisfy the frivolous and depraved taste of the Italians, who used to sav, that the music of Gluck, Jomelli, Hasse, and Bach, was too rough and German.",Bach,person,(Q1339),occupation,What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"He then mentioned various compositions ot llay dn, Mozart, Beethoven, and. others, which he thinks it would be well to introduce; not the entire works, that would: perhaps be to tiresome for such.. an occasion; but the most effective and best - appreciated mov ements of thém.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Spohr,person,(Q57226),occupation,What is the occupation of Spohr?,composer; conductor; musician; violinist; musicologist; music educator
"The following works have been performed in their entirety during the season: Mendelssohn’s ‘Elijah, ‘Hear my Prayer,” * * Loreley,” 98th Psalm, ‘Ave Maria,” and ‘As the Hart pants,” Spohr’s ‘God, Thou art Great,” Gaul’s Sacred Cantata, ‘The Holy City,” and C. ]. Stevens’s Anthem “Sing, O Heavens,” selections having been also given from “The Messiah,” “Israel in Egypt,” ‘The Seasons,” ‘St. Paul,” “Samson,” and the “Song of Miriam.”",Gaul,person,(Q4723319),occupation,What is the occupation of Gaul?,composer; conductor
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Adelina Patti,person,(Q234166),occupation,What is the occupation of Madame Adelina Patti?,composer; opera singer
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Sembrich,person,(Q265698),occupation,What is the occupation of Madame Sembrich?,pianist; violinist; opera singer; music educator
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Mdlle . De Vere,person,(Q19998212),occupation,What is the occupation of Mdlle . De Vere?,opera singer
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Madame Scalchi,person,(Q7553670),occupation,What is the occupation of Madame Scalchi?,opera singer
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Nicolini,person,(Q3083329),occupation,What is the occupation of Signor Nicolini?,opera singer
"Besides the artists already mentioried we are promised Madame Adelina Patti, Madame Sembrich, Madame Maria Durand, Mdlle. De Vere (her first appearance at the Royai Italian Opera), Madame Scalchi, Mdlle. Reggiani, and Mdille. Tremelli; Signor Nicolini, Signor Marconi, M. Soulacroix, Signor Mierzwinski, Signor Cotogni, M. Devoyod, Signor De Reszké, Signor Monti, and Signor Novara.",Signor Marconi,person,(Q5479431),occupation,What is the occupation of Signor Marconi?,opera singer
