document;span;property;span_gold_qid;retrieved_context_texts;llm_answer;prediction;prediction_label;prediction_description;llm_answer_correct;pred_qid_correct;gold_standard;in_web;in_corpus;Verified;Source
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”";Madame San Carolo;country of citizenship;NIL;"['The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise. The band performed the instrumental parts excellently throughout, the symphony to the Cantata being thoroughly appreciated by the audience. The soloists were Mrs. A. J.', ""Schumann's “ Gipsy Life” well sung by the choir, brought the programme to a termination. Mr. W.C. Stockley conducted. ‘Winpsor.—Mr. O. Christian gave a Concert in the Town Hall on the r5th ult., which was well patronised. The most successful pieces in the first part, which consisted of selections from Oratorios and Cantatas, were ‘‘ Morning prayer,” Costa, charmingly sung by Miss M. Hancock, “The soft southern breeze,” from Barnby’s Rebekah, sung by Mr. Pearson, and encored, “I rejoice in my youth,” from G. A. Macfarren’s St. ohn the Baptist, well rendered by Miss Agnes Larkcom, and “ He that hath the bride,” from the same composition, ."", 'Mr. Edward Lloyd was the vocalist. Various glees and madrigals were sung by Mr. Staniforth’s choir—Mnr. Kune gave an Italian concert in the Dome on Thursday evening, the 13th ult., which was well attended. The vocalists were Madlle. Albani, Madile. Marimon, Madame Vilda, and Signori Pavani, Scolara and Capponi. Sir Julius Benedict was accompanist, and Mr. Kuhe played several pianoforte solos.——-On Whit-Monday two concerts were given by the Band of the Royal Artillery in the Dome. Mr. J. Smyth, the regimental band master, conducted.——AtT the daily concerts given by the Aquarium Company during the past month, the following artists amongst others have appeared: Madame Patey, Madame Antoinette Sterling, Madame and Signor Garcia, the Tyrolese Singers, and Miss Martha Harries, the new contralto, CHELTENHAM.—The last concert for the season was given by Mr. Matthews’s Choral Society on Thursday, the 13th ult., at the Assembly Rooms, before a large audience. The first fart of the programme consisted of selections from the works of Mendelssohn. Especial mention should be made of the hymn, “ Hear my prayer,” which was rendered to-perfection, the solos being effectively sung by Miss Julia Jones. The second part opened with Sterndale Bennett’s quartett, “God is a Spirit,"" sung by Miss Jones, Messrs. Bucknell, Twining, and Phillips, and encored. The same composer’s Cantata, The May “een, concluded the concert, which was in every respect a success.']";['Italy'];[np.str_('Q38')];Italy;country in Southern Europe;yes;;Q38;;;;
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”";Madame San Carolo;occupation;NIL;"['The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise. The band performed the instrumental parts excellently throughout, the symphony to the Cantata being thoroughly appreciated by the audience. The soloists were Mrs. A. J.', ""Schumann's “ Gipsy Life” well sung by the choir, brought the programme to a termination. Mr. W.C. Stockley conducted. ‘Winpsor.—Mr. O. Christian gave a Concert in the Town Hall on the r5th ult., which was well patronised. The most successful pieces in the first part, which consisted of selections from Oratorios and Cantatas, were ‘‘ Morning prayer,” Costa, charmingly sung by Miss M. Hancock, “The soft southern breeze,” from Barnby’s Rebekah, sung by Mr. Pearson, and encored, “I rejoice in my youth,” from G. A. Macfarren’s St. ohn the Baptist, well rendered by Miss Agnes Larkcom, and “ He that hath the bride,” from the same composition, ."", 'Mr. Edward Lloyd was the vocalist. Various glees and madrigals were sung by Mr. Staniforth’s choir—Mnr. Kune gave an Italian concert in the Dome on Thursday evening, the 13th ult., which was well attended. The vocalists were Madlle. Albani, Madile. Marimon, Madame Vilda, and Signori Pavani, Scolara and Capponi. Sir Julius Benedict was accompanist, and Mr. Kuhe played several pianoforte solos.——-On Whit-Monday two concerts were given by the Band of the Royal Artillery in the Dome. Mr. J. Smyth, the regimental band master, conducted.——AtT the daily concerts given by the Aquarium Company during the past month, the following artists amongst others have appeared: Madame Patey, Madame Antoinette Sterling, Madame and Signor Garcia, the Tyrolese Singers, and Miss Martha Harries, the new contralto, CHELTENHAM.—The last concert for the season was given by Mr. Matthews’s Choral Society on Thursday, the 13th ult., at the Assembly Rooms, before a large audience. The first fart of the programme consisted of selections from the works of Mendelssohn. Especial mention should be made of the hymn, “ Hear my prayer,” which was rendered to-perfection, the solos being effectively sung by Miss Julia Jones. The second part opened with Sterndale Bennett’s quartett, “God is a Spirit,"" sung by Miss Jones, Messrs. Bucknell, Twining, and Phillips, and encored. The same composer’s Cantata, The May “een, concluded the concert, which was in every respect a success.']";['singer', 'vocalist', 'soloist', 'soprano', 'mezzo-soprano', 'contralto', 'choir member', 'concert performer', 'recitalist'];[np.str_('Q65620039'), np.str_('Q28771895'), np.str_('Q1371914'), np.str_('Q27914'), np.str_('Q27914'), np.str_('Q5747846'), np.str_('Q1076502'), np.str_('Q1783698'), np.str_('Q3153559')];"soul singer; vocal composer; soloist; tenor; tenor; vivandière; choir director; concert singer; music interpreter";"singer who sings soul songs; composer who writes vocal music; musician who emerges with their performance as an individual; voice type, male singing voice; voice type, male singing voice; female sutler; person who directs a choir; singer in classical concerts, performing in genres such as oratorios, symphonic works, art songs; musical performer";partially;no;Q177220;;;;
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”";Madame San Carolo;date of birth;NIL;"['The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise. The band performed the instrumental parts excellently throughout, the symphony to the Cantata being thoroughly appreciated by the audience. The soloists were Mrs. A. J.', ""Schumann's “ Gipsy Life” well sung by the choir, brought the programme to a termination. Mr. W.C. Stockley conducted. ‘Winpsor.—Mr. O. Christian gave a Concert in the Town Hall on the r5th ult., which was well patronised. The most successful pieces in the first part, which consisted of selections from Oratorios and Cantatas, were ‘‘ Morning prayer,” Costa, charmingly sung by Miss M. Hancock, “The soft southern breeze,” from Barnby’s Rebekah, sung by Mr. Pearson, and encored, “I rejoice in my youth,” from G. A. Macfarren’s St. ohn the Baptist, well rendered by Miss Agnes Larkcom, and “ He that hath the bride,” from the same composition, ."", 'Mr. Edward Lloyd was the vocalist. Various glees and madrigals were sung by Mr. Staniforth’s choir—Mnr. Kune gave an Italian concert in the Dome on Thursday evening, the 13th ult., which was well attended. The vocalists were Madlle. Albani, Madile. Marimon, Madame Vilda, and Signori Pavani, Scolara and Capponi. Sir Julius Benedict was accompanist, and Mr. Kuhe played several pianoforte solos.——-On Whit-Monday two concerts were given by the Band of the Royal Artillery in the Dome. Mr. J. Smyth, the regimental band master, conducted.——AtT the daily concerts given by the Aquarium Company during the past month, the following artists amongst others have appeared: Madame Patey, Madame Antoinette Sterling, Madame and Signor Garcia, the Tyrolese Singers, and Miss Martha Harries, the new contralto, CHELTENHAM.—The last concert for the season was given by Mr. Matthews’s Choral Society on Thursday, the 13th ult., at the Assembly Rooms, before a large audience. The first fart of the programme consisted of selections from the works of Mendelssohn. Especial mention should be made of the hymn, “ Hear my prayer,” which was rendered to-perfection, the solos being effectively sung by Miss Julia Jones. The second part opened with Sterndale Bennett’s quartett, “God is a Spirit,"" sung by Miss Jones, Messrs. Bucknell, Twining, and Phillips, and encored. The same composer’s Cantata, The May “een, concluded the concert, which was in every respect a success.']";1821-11-24 00:00:00;1821;;;no;;NIL;;;;
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”";Madame San Carolo;family name;;;;;;;;;NIL;;;;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;given name;NIL;['WALTON-ON-THE-HILL, LANCASHIRE.—A successful Concert was given in the Walton Institute, under. the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan, Miss the proposed new Church. The programme comprised’ selections from the works of the following composers, viz., Barnby, Cherry, Hatton, Balfe, Verdi, Levey, Roeckel, Blockley, and Carpenter.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.', 'Those now given were, therefore, as on two former occasions, announced to be “ under the direction of the committee of the Musical Fund.” Vocal performers, Miss D 2 \x0c in themselves, Paton, Miss Childe, Mr. A. Sapio, ‘and Mr. Vanghan..'];['Madeline'];[np.str_('Q3275790')];Madeline;female given name;yes;yes;Q3275790;no;yes;yes;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;sex or gender;NIL;['WALTON-ON-THE-HILL, LANCASHIRE.—A successful Concert was given in the Walton Institute, under. the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan, Miss the proposed new Church. The programme comprised’ selections from the works of the following composers, viz., Barnby, Cherry, Hatton, Balfe, Verdi, Levey, Roeckel, Blockley, and Carpenter.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.', 'Those now given were, therefore, as on two former occasions, announced to be “ under the direction of the committee of the Musical Fund.” Vocal performers, Miss D 2 \x0c in themselves, Paton, Miss Childe, Mr. A. Sapio, ‘and Mr. Vanghan..'];['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";yes;yes;Q6581072;no;yes;yes;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;country of citizenship;NIL;['WALTON-ON-THE-HILL, LANCASHIRE.—A successful Concert was given in the Walton Institute, under. the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan, Miss the proposed new Church. The programme comprised’ selections from the works of the following composers, viz., Barnby, Cherry, Hatton, Balfe, Verdi, Levey, Roeckel, Blockley, and Carpenter.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.', 'Those now given were, therefore, as on two former occasions, announced to be “ under the direction of the committee of the Musical Fund.” Vocal performers, Miss D 2 \x0c in themselves, Paton, Miss Childe, Mr. A. Sapio, ‘and Mr. Vanghan..'];['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;yes;yes;Q145;no;yes;yes;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;occupation;NIL;['WALTON-ON-THE-HILL, LANCASHIRE.—A successful Concert was given in the Walton Institute, under. the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan, Miss the proposed new Church. The programme comprised’ selections from the works of the following composers, viz., Barnby, Cherry, Hatton, Balfe, Verdi, Levey, Roeckel, Blockley, and Carpenter.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.', 'Those now given were, therefore, as on two former occasions, announced to be “ under the direction of the committee of the Musical Fund.” Vocal performers, Miss D 2 \x0c in themselves, Paton, Miss Childe, Mr. A. Sapio, ‘and Mr. Vanghan..'];['soloist', 'singer', 'vocalist', 'performer', 'musician'];[np.str_('Q1371914'), np.str_('Q65620039'), np.str_('Q28771895'), np.str_('Q15214752'), np.str_('Q12374149')];"soloist; soul singer; vocal composer; cabaret performer; rock musician";"musician who emerges with their performance as an individual; singer who sings soul songs; composer who writes vocal music; performing artist specialized in cabaret; musician playing rock music";yes;partially;Q1371914, Q177220, Q639669, Q713200;;;;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;date of birth;NIL;['WALTON-ON-THE-HILL, LANCASHIRE.—A successful Concert was given in the Walton Institute, under. the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan, Miss the proposed new Church. The programme comprised’ selections from the works of the following composers, viz., Barnby, Cherry, Hatton, Balfe, Verdi, Levey, Roeckel, Blockley, and Carpenter.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.', 'Those now given were, therefore, as on two former occasions, announced to be “ under the direction of the committee of the Musical Fund.” Vocal performers, Miss D 2 \x0c in themselves, Paton, Miss Childe, Mr. A. Sapio, ‘and Mr. Vanghan..'];1851-08-11 00:00:00;1851;;;no;;NIL;;;;
the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,;Madeline Roe;family name;;;;;;;;;Q20727054;;;;
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;given name;NIL;"['was decidedly superior to the latter. The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini. “But she is certainly an artist of the first class, though eclipsed by the forcibly and sublime expression of Pasta, and by the extraordinary facility of Sontag.* Mademoiselle Brambilla has not had much to do, especially during the latter part of the season, after the ‘engagement of Madame Schutz, but-the richness of her voice, her pure manner, and the beauty of her person have won upon her audiences. She has fine natural requisites, and study will probably advance her to eminence in her profession, while extreme youth affords abundant time and opportunity forthe culture of-her ability. Signor Curioni, Porto, and. Pellegrini supported the ordinary routine of the opera with the. sustentation their solid qualities .', 'To sum up her attributes then—she has a fine sensibility and a just conception—an intonation seldom incorrect—execution perfected and regulated by profound science. Her voice is defective, and never will the hearer be so convinced of the truth of the Italian maxim, that “a fine voice is ninety-nine of the hundred requisites of a singer,” as in hearing Madame Pasta—for possessing all the rest, the absence of the physical pleasure we derive from fine tone, is a drawback frem the general gratification of no small magnitude. It is also singular that her shake is exceedingly imperfect. But the want of this ornament is now we believe common to all Italian singers. In person Madame P. is short but well formed, and upon the stage wacommonly easy and dignified, particularly i in male characters. At all times she is graceful, but in particular passages she is more affecting than we conceived she could be. Her recitativo parlante i is far above that of most performers, and we must repeat that her entire manner exhibits the force of sensibility, intellect, and science, in the use of organic powers generally speaking far below those possessed by singers of so high a class. .', ""A lady, once Miss Fearon, afterwards Mrs. Glossop, then Madame Ferone, and finally Madame Feron, appeared again on the English stage, after an absence in Italy of'some years, in this opera. She possesses a voice of much strength and extensive compass, the quality of which, though not. good, is not disagreeable, and her intonation—the first of all vocal virtues—is irreproachable, But, on the other hand, it is painfully tremulous in anything like sustained, moderate sounds, and it wants. that fulness, without which, power, if over exerted, only magnifies. defects. Her “ Lullaby” shewed a want of expression ; and execution, rather than taste and feeling, is the object she aims at and attains. For the purpose of displaying this, a bravura, “ with variations, composed expressly for Mad. Feron in Naples,” is introduced at the close of the opera, which is either a palpable imitation of Rode’s air, with variations, as sung by Mad. Catalani, or, perhaps, the very thing itself, slightly altered.""]";['No given name is mentioned in the provided sentence or context for Mademoiselle Bonini.'];[np.str_('Q21148263')];Madelina;given name;;;NIL;;;;
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;sex or gender;NIL;"['was decidedly superior to the latter. The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini. “But she is certainly an artist of the first class, though eclipsed by the forcibly and sublime expression of Pasta, and by the extraordinary facility of Sontag.* Mademoiselle Brambilla has not had much to do, especially during the latter part of the season, after the ‘engagement of Madame Schutz, but-the richness of her voice, her pure manner, and the beauty of her person have won upon her audiences. She has fine natural requisites, and study will probably advance her to eminence in her profession, while extreme youth affords abundant time and opportunity forthe culture of-her ability. Signor Curioni, Porto, and. Pellegrini supported the ordinary routine of the opera with the. sustentation their solid qualities .', 'To sum up her attributes then—she has a fine sensibility and a just conception—an intonation seldom incorrect—execution perfected and regulated by profound science. Her voice is defective, and never will the hearer be so convinced of the truth of the Italian maxim, that “a fine voice is ninety-nine of the hundred requisites of a singer,” as in hearing Madame Pasta—for possessing all the rest, the absence of the physical pleasure we derive from fine tone, is a drawback frem the general gratification of no small magnitude. It is also singular that her shake is exceedingly imperfect. But the want of this ornament is now we believe common to all Italian singers. In person Madame P. is short but well formed, and upon the stage wacommonly easy and dignified, particularly i in male characters. At all times she is graceful, but in particular passages she is more affecting than we conceived she could be. Her recitativo parlante i is far above that of most performers, and we must repeat that her entire manner exhibits the force of sensibility, intellect, and science, in the use of organic powers generally speaking far below those possessed by singers of so high a class. .', ""A lady, once Miss Fearon, afterwards Mrs. Glossop, then Madame Ferone, and finally Madame Feron, appeared again on the English stage, after an absence in Italy of'some years, in this opera. She possesses a voice of much strength and extensive compass, the quality of which, though not. good, is not disagreeable, and her intonation—the first of all vocal virtues—is irreproachable, But, on the other hand, it is painfully tremulous in anything like sustained, moderate sounds, and it wants. that fulness, without which, power, if over exerted, only magnifies. defects. Her “ Lullaby” shewed a want of expression ; and execution, rather than taste and feeling, is the object she aims at and attains. For the purpose of displaying this, a bravura, “ with variations, composed expressly for Mad. Feron in Naples,” is introduced at the close of the opera, which is either a palpable imitation of Rode’s air, with variations, as sung by Mad. Catalani, or, perhaps, the very thing itself, slightly altered.""]";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;no;yes;yes;Corpus
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;country of citizenship;NIL;"['was decidedly superior to the latter. The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini. “But she is certainly an artist of the first class, though eclipsed by the forcibly and sublime expression of Pasta, and by the extraordinary facility of Sontag.* Mademoiselle Brambilla has not had much to do, especially during the latter part of the season, after the ‘engagement of Madame Schutz, but-the richness of her voice, her pure manner, and the beauty of her person have won upon her audiences. She has fine natural requisites, and study will probably advance her to eminence in her profession, while extreme youth affords abundant time and opportunity forthe culture of-her ability. Signor Curioni, Porto, and. Pellegrini supported the ordinary routine of the opera with the. sustentation their solid qualities .', 'To sum up her attributes then—she has a fine sensibility and a just conception—an intonation seldom incorrect—execution perfected and regulated by profound science. Her voice is defective, and never will the hearer be so convinced of the truth of the Italian maxim, that “a fine voice is ninety-nine of the hundred requisites of a singer,” as in hearing Madame Pasta—for possessing all the rest, the absence of the physical pleasure we derive from fine tone, is a drawback frem the general gratification of no small magnitude. It is also singular that her shake is exceedingly imperfect. But the want of this ornament is now we believe common to all Italian singers. In person Madame P. is short but well formed, and upon the stage wacommonly easy and dignified, particularly i in male characters. At all times she is graceful, but in particular passages she is more affecting than we conceived she could be. Her recitativo parlante i is far above that of most performers, and we must repeat that her entire manner exhibits the force of sensibility, intellect, and science, in the use of organic powers generally speaking far below those possessed by singers of so high a class. .', ""A lady, once Miss Fearon, afterwards Mrs. Glossop, then Madame Ferone, and finally Madame Feron, appeared again on the English stage, after an absence in Italy of'some years, in this opera. She possesses a voice of much strength and extensive compass, the quality of which, though not. good, is not disagreeable, and her intonation—the first of all vocal virtues—is irreproachable, But, on the other hand, it is painfully tremulous in anything like sustained, moderate sounds, and it wants. that fulness, without which, power, if over exerted, only magnifies. defects. Her “ Lullaby” shewed a want of expression ; and execution, rather than taste and feeling, is the object she aims at and attains. For the purpose of displaying this, a bravura, “ with variations, composed expressly for Mad. Feron in Naples,” is introduced at the close of the opera, which is either a palpable imitation of Rode’s air, with variations, as sung by Mad. Catalani, or, perhaps, the very thing itself, slightly altered.""]";['France'];[np.str_('Q142')];France;country in Western Europe;;;Q142;no;yes;yes;Corpus
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;occupation;NIL;"['was decidedly superior to the latter. The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini. “But she is certainly an artist of the first class, though eclipsed by the forcibly and sublime expression of Pasta, and by the extraordinary facility of Sontag.* Mademoiselle Brambilla has not had much to do, especially during the latter part of the season, after the ‘engagement of Madame Schutz, but-the richness of her voice, her pure manner, and the beauty of her person have won upon her audiences. She has fine natural requisites, and study will probably advance her to eminence in her profession, while extreme youth affords abundant time and opportunity forthe culture of-her ability. Signor Curioni, Porto, and. Pellegrini supported the ordinary routine of the opera with the. sustentation their solid qualities .', 'To sum up her attributes then—she has a fine sensibility and a just conception—an intonation seldom incorrect—execution perfected and regulated by profound science. Her voice is defective, and never will the hearer be so convinced of the truth of the Italian maxim, that “a fine voice is ninety-nine of the hundred requisites of a singer,” as in hearing Madame Pasta—for possessing all the rest, the absence of the physical pleasure we derive from fine tone, is a drawback frem the general gratification of no small magnitude. It is also singular that her shake is exceedingly imperfect. But the want of this ornament is now we believe common to all Italian singers. In person Madame P. is short but well formed, and upon the stage wacommonly easy and dignified, particularly i in male characters. At all times she is graceful, but in particular passages she is more affecting than we conceived she could be. Her recitativo parlante i is far above that of most performers, and we must repeat that her entire manner exhibits the force of sensibility, intellect, and science, in the use of organic powers generally speaking far below those possessed by singers of so high a class. .', ""A lady, once Miss Fearon, afterwards Mrs. Glossop, then Madame Ferone, and finally Madame Feron, appeared again on the English stage, after an absence in Italy of'some years, in this opera. She possesses a voice of much strength and extensive compass, the quality of which, though not. good, is not disagreeable, and her intonation—the first of all vocal virtues—is irreproachable, But, on the other hand, it is painfully tremulous in anything like sustained, moderate sounds, and it wants. that fulness, without which, power, if over exerted, only magnifies. defects. Her “ Lullaby” shewed a want of expression ; and execution, rather than taste and feeling, is the object she aims at and attains. For the purpose of displaying this, a bravura, “ with variations, composed expressly for Mad. Feron in Naples,” is introduced at the close of the opera, which is either a palpable imitation of Rode’s air, with variations, as sung by Mad. Catalani, or, perhaps, the very thing itself, slightly altered.""]";['singer', 'vocalist', 'opera singer', 'performer', 'artist', 'musician'];[np.str_('Q65620039'), np.str_('Q28771895'), np.str_('Q2865819'), np.str_('Q15214752'), np.str_('Q3391743'), np.str_('Q12374149')];"soul singer; vocal composer; opera singer; cabaret performer; visual artist; rock musician";"singer who sings soul songs; composer who writes vocal music; singer who sings in operas; performing artist specialized in cabaret; artist involved with the visual arts; musician playing rock music";;;Q2865819;no;yes;yes;Corpus
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;date of birth;NIL;"['was decidedly superior to the latter. The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini. “But she is certainly an artist of the first class, though eclipsed by the forcibly and sublime expression of Pasta, and by the extraordinary facility of Sontag.* Mademoiselle Brambilla has not had much to do, especially during the latter part of the season, after the ‘engagement of Madame Schutz, but-the richness of her voice, her pure manner, and the beauty of her person have won upon her audiences. She has fine natural requisites, and study will probably advance her to eminence in her profession, while extreme youth affords abundant time and opportunity forthe culture of-her ability. Signor Curioni, Porto, and. Pellegrini supported the ordinary routine of the opera with the. sustentation their solid qualities .', 'To sum up her attributes then—she has a fine sensibility and a just conception—an intonation seldom incorrect—execution perfected and regulated by profound science. Her voice is defective, and never will the hearer be so convinced of the truth of the Italian maxim, that “a fine voice is ninety-nine of the hundred requisites of a singer,” as in hearing Madame Pasta—for possessing all the rest, the absence of the physical pleasure we derive from fine tone, is a drawback frem the general gratification of no small magnitude. It is also singular that her shake is exceedingly imperfect. But the want of this ornament is now we believe common to all Italian singers. In person Madame P. is short but well formed, and upon the stage wacommonly easy and dignified, particularly i in male characters. At all times she is graceful, but in particular passages she is more affecting than we conceived she could be. Her recitativo parlante i is far above that of most performers, and we must repeat that her entire manner exhibits the force of sensibility, intellect, and science, in the use of organic powers generally speaking far below those possessed by singers of so high a class. .', ""A lady, once Miss Fearon, afterwards Mrs. Glossop, then Madame Ferone, and finally Madame Feron, appeared again on the English stage, after an absence in Italy of'some years, in this opera. She possesses a voice of much strength and extensive compass, the quality of which, though not. good, is not disagreeable, and her intonation—the first of all vocal virtues—is irreproachable, But, on the other hand, it is painfully tremulous in anything like sustained, moderate sounds, and it wants. that fulness, without which, power, if over exerted, only magnifies. defects. Her “ Lullaby” shewed a want of expression ; and execution, rather than taste and feeling, is the object she aims at and attains. For the purpose of displaying this, a bravura, “ with variations, composed expressly for Mad. Feron in Naples,” is introduced at the close of the opera, which is either a palpable imitation of Rode’s air, with variations, as sung by Mad. Catalani, or, perhaps, the very thing itself, slightly altered.""]";1746-01-18 00:00:00;1746;;;;;NIL;;;;
The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.;Mademoiselle Bonini;family name;;;;;;;;;Q37123326;;;;
"(Printed for G. and W. B. Whittaker, dve Maria Lune; and Clementi and Co., Cheapside.)";Maria Lune;given name;NIL;"['‘Printed by Novei.o, Ewer and Co., 1, Be Bernere-strest (W.), and 80 81, Queen-street, Cheapside (E.C.) Sold also by Kent and Co., Paternoster-row. by J. L. PRTERS, 843, Broadway, New Yorke Fussdsy, August 1, 1676.', 'London: Published for the Editor by Novello, Ewer, and Co. ; Weekes and Co., 16, Hanover-street.', 'Printed by NovELto, Ewen: and Co., ne Bernera-street (W.), and 35, Poultry(E.C.) Sold also by Kenr and Co., Paternoster-row. ty J. L. Peters, 843, Broadway, New York.~- Wednesday, March 2, 1876,']";['Maria'];[np.str_('Q325872')];Maria;female given name;yes;;Q325872;no;yes;yes;Corpus
"(Printed for G. and W. B. Whittaker, dve Maria Lune; and Clementi and Co., Cheapside.)";Maria Lune;sex or gender;NIL;"['‘Printed by Novei.o, Ewer and Co., 1, Be Bernere-strest (W.), and 80 81, Queen-street, Cheapside (E.C.) Sold also by Kent and Co., Paternoster-row. by J. L. PRTERS, 843, Broadway, New Yorke Fussdsy, August 1, 1676.', 'London: Published for the Editor by Novello, Ewer, and Co. ; Weekes and Co., 16, Hanover-street.', 'Printed by NovELto, Ewen: and Co., ne Bernera-street (W.), and 35, Poultry(E.C.) Sold also by Kenr and Co., Paternoster-row. ty J. L. Peters, 843, Broadway, New York.~- Wednesday, March 2, 1876,']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";yes;;Q6581072;no;yes;;Corpus
